Quarter,BG Group,HBB L1,HBB L2,Geo,Segment,Fiscal Year,Fiscal Quarter,Final
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY24/25,Q4,1.4279519999999997
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY25/26,Q1ACT,1.5473592999999999
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY25/26,Q2ACT,2.0257558
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY25/26,Q3M1,1.3684133
Revenue $M,IDG,GPS,Configuration Services,EMEA,SMB,FY25/26,Q4MT,1.3383293
Revenue $M,IDG,GPS,Configuration Services,EMEA,CONS,FY23/24,Q1,0.000156
Revenue $M,IDG,GPS,Configuration Services,EMEA,CONS,FY23/24,Q2,9.8e-05
Revenue $M,IDG,GPS,Configuration Services,EMEA,CONS,FY23/24,Q3,4.7799999999999996e-05
Revenue $M,IDG,GPS,Configuration Services,EMEA,CONS,FY23/24,Q4,1.3e-05
Revenue $M,IDG,GPS,Configuration Services,EMEA,CONS,FY24/25,Q1,0.0013481
Revenue $M,IDG,GPS,Configuration Services,EMEA,CONS,FY24/25,Q2,0.001674
Revenue $M,IDG,GPS,Configuration Services,EMEA,CONS,FY24/25,Q3,0.001522
Revenue $M,IDG,GPS,Configuration Services,EMEA,CONS,FY24/25,Q4,0.0014753
Revenue $M,IDG,GPS,Configuration Services,EMEA,Others,FY23/24,Q1,-6.000000000000002e-07
Revenue $M,IDG,GPS,Configuration Services,EMEA,Others,FY23/24,Q2,-2.3e-06
Revenue $M,IDG,GPS,Configuration Services,EMEA,Others,FY23/24,Q3,-2.1e-06
Revenue $M,IDG,GPS,Configuration Services,EMEA,Others,FY23/24,Q4,-8.000000000000001e-07
Revenue $M,IDG,GPS,Configuration Services,EMEA,Others,FY24/25,Q1,-3.3000000000000006e-06
Revenue $M,IDG,GPS,Configuration Services,EMEA,Others,FY24/25,Q2,-2.6e-06
Revenue $M,IDG,GPS,Configuration Services,EMEA,Others,FY24/25,Q3,-3.600000000000001e-06
Revenue $M,IDG,GPS,Configuration Services,EMEA,Others,FY24/25,Q4,-1.1e-06
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY23/24,Q1,13.579595399999999
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY23/24,Q2,12.1217105
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY23/24,Q3,13.4101305
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY23/24,Q4,11.865538
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY24/25,Q1,14.0889537
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY24/25,Q2,11.7430542
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY24/25,Q3,16.890550100000002
Revenue $M,IDG,GPS,Configuration Services,NA,REL,FY24/25,Q4,16.8960465
